DNAME2014,DCODE2014,CNAME2014,CCODE2014,SNAME2014,SCODE2014,PNAME2014,PCODE2014,pname_2,%HhH(10-17,distances -Public Health facility,distances -Public Health facility Less than 5 Kms Percent,distances -Public Health facility 5 Kms or More Percent,distances - Private Health Facility,distances - Private Health Facility Less than 5 Kms Percent,distances - Private Health Facility 5 Kms or More Percent,Kitchen,No Kitchen Percent,Bathroom,Make shift Bathroom Percent,No bathroom Percent,Toilet Facility,No facility bush polythene bags bucket Percent,Water Scource,Public taps Percent,Distance - Public Primary school,Distance - Public Primary school Less than 5 Kms Percent,Distance - Public Primary school 5 Kms or More Percent,pname_1,Tenement (Muzigo) Percent,Floor,Floor Earth Percent,Floor Rammed earth Percent,Wall,Wall Mud and pole Percent,Parish,HH poverty
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KISENYI II,0,KISENYI II,1.1,KISENYI II,95.3,4.7,KISENYI II,95.3,4.7,KISENYI II,46,KISENYI II,1.5,1.3,KISENYI II,0.2,KISENYI II,42.8,KISENYI II,96.5,3.5,KISENYI II,61,KISENYI II,6.4,2.9,KISENYI II,2.1,KISENYI II,1.35
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KISENYI I,0,KISENYI I,1.5,KISENYI I,100,0,KISENYI I,100,0,KISENYI I,34.4,KISENYI I,16,2.1,KISENYI I,0,KISENYI I,37.4,KISENYI I,100,0,KISENYI I,39.6,KISENYI I,0.9,0.6,KISENYI I,0.3,KISENYI I,2.22
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KOLOLO III,0,KOLOLO III,0,KOLOLO III,100,0,KOLOLO III,100,0,KOLOLO III,10.8,KOLOLO III,0.6,0,KOLOLO III,0,KOLOLO III,14.7,KOLOLO III,97.6,2.4,KOLOLO III,0.9,KOLOLO III,0.9,1.2,KOLOLO III,1.2,KOLOLO III,0.89
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KOLOLO II,0,KOLOLO II,0,KOLOLO II,88.8,11.2,KOLOLO II,93.8,6.2,KOLOLO II,9,KOLOLO II,1.6,0.3,KOLOLO II,0,KOLOLO II,28.3,KOLOLO II,90.4,9.6,KOLOLO II,4,KOLOLO II,6.8,4,KOLOLO II,0,KOLOLO II,1.07
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,MENGO,0,MENGO,0.5,MENGO,95.7,4.3,MENGO,98.2,1.8,MENGO,61.3,MENGO,0.5,0.4,MENGO,0.3,MENGO,64.8,MENGO,98.3,1.7,MENGO,70.8,MENGO,4.3,2.5,MENGO,3.9,MENGO,0.47
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KOLOLO IV,0,KOLOLO IV,0.2,KOLOLO IV,91.6,8.4,KOLOLO IV,98.7,1.3,KOLOLO IV,5.7,KOLOLO IV,0.4,0.4,KOLOLO IV,0,KOLOLO IV,34.5,KOLOLO IV,95.6,4.4,KOLOLO IV,14.3,KOLOLO IV,3.7,8.1,KOLOLO IV,0.6,KOLOLO IV,3.27
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,NAKASERO II,0,NAKASERO II,0,NAKASERO II,92.9,7.1,NAKASERO II,98.5,1.5,NAKASERO II,13.4,NAKASERO II,3.2,0.9,NAKASERO II,0.6,NAKASERO II,9.3,NAKASERO II,99.3,0.7,NAKASERO II,8,NAKASERO II,1.1,1.3,NAKASERO II,0,NAKASERO II,1.1
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,NAKASERO I,0,NAKASERO I,0.8,NAKASERO I,98.8,1.2,NAKASERO I,97.6,2.4,NAKASERO I,8,NAKASERO I,0,1.2,NAKASERO I,0,NAKASERO I,9.6,NAKASERO I,97.6,2.4,NAKASERO I,13.2,NAKASERO I,0,1.2,NAKASERO I,0,NAKASERO I,0.4
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,BUKESA,0,BUKESA,0.7,BUKESA,98.4,1.6,BUKESA,98.6,1.4,BUKESA,45.6,BUKESA,0.1,0.3,BUKESA,0,BUKESA,36.4,BUKESA,97.8,2.2,BUKESA,53,BUKESA,1.2,1,BUKESA,1,BUKESA,0.39
KAMPALA,0,KAMPALA CAPITAL CITY,0,MAKINDYE,0,NSAMBYA POLICE BARRACKS,0,NSAMBYA POLICE BARRACKS,0,NSAMBYA POLICE BARRACKS,98.6,1.4,NSAMBYA POLICE BARRACKS,98.4,1.6,NSAMBYA POLICE BARRACKS,1.3,NSAMBYA POLICE BARRACKS,5.9,12.1,NSAMBYA POLICE BARRACKS,0,NSAMBYA POLICE BARRACKS,34.8,NSAMBYA POLICE BARRACKS,96.2,3.8,NSAMBYA POLICE BARRACKS,21.6,NSAMBYA POLICE BARRACKS,1.6,0.4,NSAMBYA POLICE BARRACKS,0.2,NSAMBYA POLICE BARRACKS,
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,INDUSTRIAL AREA,0,INDUSTRIAL AREA,0,INDUSTRIAL AREA,88.8,11.2,INDUSTRIAL AREA,86.9,13.1,INDUSTRIAL AREA,17.4,INDUSTRIAL AREA,4.6,34,INDUSTRIAL AREA,10.4,INDUSTRIAL AREA,72.2,INDUSTRIAL AREA,87.3,12.7,INDUSTRIAL AREA,57.1,INDUSTRIAL AREA,28.2,11.2,INDUSTRIAL AREA,57.1,INDUSTRIAL AREA,1.46
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,CIVIC CENTRE,0,CIVIC CENTRE,0,CIVIC CENTRE,97.5,2.5,CIVIC CENTRE,98.1,1.9,CIVIC CENTRE,6.8,CIVIC CENTRE,3.7,0,CIVIC CENTRE,0.6,CIVIC CENTRE,6.8,CIVIC CENTRE,97.5,2.5,CIVIC CENTRE,3.7,CIVIC CENTRE,1.2,1.2,CIVIC CENTRE,0,CIVIC CENTRE,0.13
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KAMWOKYA I,0,KAMWOKYA I,0.4,KAMWOKYA I,99.1,0.9,KAMWOKYA I,90.5,9.5,KAMWOKYA I,6.5,KAMWOKYA I,3.2,0.4,KAMWOKYA I,0.2,KAMWOKYA I,38.4,KAMWOKYA I,93.5,6.5,KAMWOKYA I,6.9,KAMWOKYA I,1.7,2.4,KAMWOKYA I,1.3,KAMWOKYA I,1.08
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KAGUGUBE,0,KAGUGUBE,1,KAGUGUBE,82.6,17.4,KAGUGUBE,98.1,1.9,KAGUGUBE,39.6,KAGUGUBE,1.2,1.5,KAGUGUBE,0.4,KAGUGUBE,37.5,KAGUGUBE,93.8,6.3,KAGUGUBE,60,KAGUGUBE,7.7,2,KAGUGUBE,11.8,KAGUGUBE,0.89
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KISENYI III,0,KISENYI III,1.2,KISENYI III,98.2,1.8,KISENYI III,97.1,2.9,KISENYI III,58.9,KISENYI III,2.1,3.2,KISENYI III,0.8,KISENYI III,50.2,KISENYI III,98.7,1.3,KISENYI III,77.7,KISENYI III,10.5,1.4,KISENYI III,7.4,KISENYI III,1.04
KAMPALA,0,KAMPALA CAPITAL CITY,0,CENTRAL,0,KAMWOKYA II,0,KAMWOKYA II,0.7,KAMWOKYA II,96,4,KAMWOKYA II,99.3,0.7,KAMWOKYA II,55.1,KAMWOKYA II,1.4,1.1,KAMWOKYA II,0.1,KAMWOKYA II,56.1,KAMWOKYA II,99.1,0.9,KAMWOKYA II,73.7,KAMWOKYA II,3.9,1.8,KAMWOKYA II,4.9,KAMWOKYA II,0.36
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,KAWEMPE II,0,KAWEMPE II,0.5,KAWEMPE II,72.9,27.1,KAWEMPE II,92.9,7.1,KAWEMPE II,39.4,KAWEMPE II,1,0.7,KAWEMPE II,0.1,KAWEMPE II,51.8,KAWEMPE II,93,7,KAWEMPE II,54.3,KAWEMPE II,3.2,3,KAWEMPE II,0.6,KAWEMPE II,0.47
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,KAWEMPE I,0,KAWEMPE I,0.6,KAWEMPE I,85.9,14.1,KAWEMPE I,94.4,5.6,KAWEMPE I,49.3,KAWEMPE I,0.8,0.5,KAWEMPE I,0.1,KAWEMPE I,33.6,KAWEMPE I,93.6,6.4,KAWEMPE I,52.5,KAWEMPE I,1.7,1.6,KAWEMPE I,0.6,KAWEMPE I,0.44
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,KIKAAYA,0,KIKAAYA,0.5,KIKAAYA,66.4,33.6,KIKAAYA,88.3,11.7,KIKAAYA,35.4,KIKAAYA,0.9,0.5,KIKAAYA,0.1,KIKAAYA,28.8,KIKAAYA,81.7,18.3,KIKAAYA,48.3,KIKAAYA,2.2,1.1,KIKAAYA,0.3,KIKAAYA,0.32
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,KAZO,0,KAZO,0.6,KAZO ANGOLA,84.8,15.2,KAZO ANGOLA,93.9,6.1,KAZO ANGOLA,47.7,KAZO ANGOLA,1.6,0.7,KAZO ANGOLA,0.1,KAZO ANGOLA,32.4,KAZO ANGOLA,93.7,6.3,KAZO ANGOLA,53.8,KAZO ANGOLA,2.2,1.4,KAZO ANGOLA,0.8,KAZO,0.56
KAMPALA,0,KAMPALA CAPITAL CITY,0,KAWEMPE,0,KYEBANDO,0,KYEBANDO,0.5,KYEBANDO,87.4,12.6,KYEBANDO,91.1,8.9,KYEBANDO,42.4,KYEBANDO,1,0.7,KYEBANDO,0.1,KYEBANDO,33.8,KYEBANDO,90.5,9.5,KYEBANDO,57.4,KYEBANDO,2.1,1.5,KYEBANDO,0.7,KYEBANDO,0.62
