wkt_geom,Deliveries,ANC,typeTextHealth,Type,typeText,Please_spe,ownershipText,Name,path,layer,typeTextWater,identifier,PNAME2014,typeTextSchools,typeTextProtection
Point (32.56980000000000075 0.35859999999999997),Yes,No,Delivery Services,,,,Private,Gibbson clinic and lab services,,Kampala Health Facilities,,4325,BWAISE I,,
Point (32.55740000000000123 0.36099999999999999),Yes,No,Delivery Services,,,,Private,Beatrice medical services,,Kampala Health Facilities,,4298,BWAISE II,,
Point (32.5589999999999975 0.35389999999999999),Yes,No,Delivery Services,,,,Private,J b medical clinic,,Kampala Health Facilities,,4304,BWAISE II,,
Point (32.55740000000000123 0.35010000000000002),Yes,No,Delivery Services,,,,Private,Matrix clinic,,Kampala Health Facilities,,4271,BWAISE III,,
Point (32.60309999999999775 0.36859999999999998),Yes,No,Delivery Services,,,,Private,Ritath clinic,,Kampala Health Facilities,,4437,KIKAAYA,,
Point (32.57600000000000051 0.29820000000000002),Yes,No,Delivery Services,,,,Private,Ngabo clinic katwe,,Kampala Health Facilities,,230,KATWE I,,
Point (32.60060000000000002 0.31590000000000001),Yes,Yes,Both Delivery and Antenatal Services ,,,,Private,Rainbow city hosppital (u) ltd,,Kampala Health Facilities,,479,INDUSTRIAL AREA,,
Point (32.56759999999999877 0.3196),,,,POLICE POST,Police Post,,Government,BUKESA POLICE POST,,Police,,709,BUKESA,,Police Post
Point (32.56430000000000291 0.32750000000000001),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Delight Salon,,Schools,,897,BUKESA,Non Formal Schools,
Point (32.56380000000000052 0.3271),,,,Schools,Non Formal Schools,Non Formal Schools,Non Formal,Chez Unisex Salon,,Schools,,899,BUKESA,Non Formal Schools,
Point (32.56490000000000151 0.32590000000000002),,,,Schools,Secondary Schools,Secondary Schools,Private,Bright Way Hill School,,Schools,,1327,BUKESA,Secondary Schools,
Point (32.56490000000000151 0.3246),,,,Schools,Post Primary Schools,Post Primary Schools,Private,Multitech Business School,,Schools,,1465,BUKESA,Post Primary Schools,
Point (32.56620000000000203 0.32419999999999999),,,,Schools,Secondary Schools,Secondary Schools,Government,Kampala High School,,Schools,,1470,BUKESA,Secondary Schools,
